"record_name";"descr";"text"
"webuser_msg";"argument_error";"""Problème dans les arguments envoyés"""
"webuser_msg";"back";"""retour"""
"webuser_msg";"back_profile";"""Retour au profil client"""
"webuser_msg";"back_profile_bn";"""retour profil client"""
"webuser_msg";"bad_imei_format";"""Cet IMEI n'est pas correct. Veuillez entrer au moins les 6 premiers chiffres"""
"webuser_msg";"bad_number";"""Entrez le bon format de numéro"""
"webuser_msg";"bad_time_format";"""L'heure que vous avez saisie n'a pas le bon format"""
"webuser_msg";"billing_act";"""Acte de taxation"""
"webuser_msg";"billing_error";"""Erreur de taxation"""
"webuser_msg";"blank";"[]"
"webuser_msg";"choose_identifier";"""Type d'identifiant"""
"webuser_msg";"close";"""fermer"""
"webuser_msg";"confirm";"""Confirmer"""
"webuser_msg";"connection_cost";"""Prix de la connexion"""
"webuser_msg";"connection_date";"""Dernière connexion"""
"webuser_msg";"connection_duration";"""Durée de connexion"""
"webuser_msg";"connection_time";"""Heure de connexion"""
"webuser_msg";"connection_type";"""Phase USSD"""
"webuser_msg";"consultations_num";"""Nombre de consultations"""
"webuser_msg";"credit";"""Crédit"""
"webuser_msg";"customer_input";"""Saisie client"""
"webuser_msg";"date";"""Date"""
"webuser_msg";"db_error";"""Les données ne sont pas disponibles"""
"webuser_msg";"details";"""Détails"""
"webuser_msg";"duration";"""Durée"""
"webuser_msg";"empty_page";"""Page vide"""
"webuser_msg";"end_network";"""Session fermée par le réseau"""
"webuser_msg";"end_of_session";"""Fin de session"""
"webuser_msg";"end_software";"""Fin de session logicielle"""
"webuser_msg";"end_timeout";"""Fin de session par inactivité"""
"webuser_msg";"end_user";"""Fin de session par l'utilisateur"""
"webuser_msg";"enter_identifier";"""Identifiant du client"""
"webuser_msg";"error";"""Erreur"""
"webuser_msg";"first";"""First"""
"webuser_msg";"first_session";"""Première session"""
"webuser_msg";"force_nav";"""Navigation forcée"""
"webuser_msg";"friendly_imsi";"""N°IMSI"""
"webuser_msg";"friendly_msisdn";"""N°d'appel"""
"webuser_msg";"handset_endsize";"""Nombre de caractères en fin de session USSD"""
"webuser_msg";"handset_error";"""Fin de session sur comportement anormal du mobile"""
"webuser_msg";"handset_phase";"""Phase"""
"webuser_msg";"handset_size";"""Nombre de caractères en session USSD"""
"webuser_msg";"handset_ucs";"""UCS activé"""
"webuser_msg";"handset_ucs_endsize";"""Nombre de caractères en fin de session USSD (UCS)"""
"webuser_msg";"handset_ucs_size";"""Nombre de caractères en session USSD (UCS)"""
"webuser_msg";"help";"""Aide"""
"webuser_msg";"history";"""historique"""
"webuser_msg";"homepage";"""Accueil"""
"webuser_msg";"hour";"""Heure"""
"webuser_msg";"int_server";"""Interprétation serveur"""
"webuser_msg";"internal_platform_problem";"""Problème interne plateforme"""
"webuser_msg";"language";"""Langage"""
"webuser_msg";"last";"""Last"""
"webuser_msg";"last_session";"""Dernière session"""
"webuser_msg";"libelle";"""Libellé"""
"webuser_msg";"logout";"""Déconnexion"""
"webuser_msg";"missing_elements";"""Eléments manquants"""
"webuser_msg";"modify_search";"""modifier rech"""
"webuser_msg";"new_search";"""nouvelle rech"""
"webuser_msg";"next";"""Next"""
"webuser_msg";"next_page";"""Page suivante"""
"webuser_msg";"next_sessions";"""Sessions suivantes"""
"webuser_msg";"no_barring";"""Pas de barring"""
"webuser_msg";"no_profile";"""Pas d'entrée dans la base de données : le client n'a peut-être pas encore utilisé ce service"""
"webuser_msg";"no_session";"""Il n'y a pas de session correspondant à cet utilisateur pendant cette période"""
"webuser_msg";"no_such_handset";"""Il n'y a pas de terminal en base correspondant à ces critères"""
"webuser_msg";"no_user";"""Il n'y a pas de client correspondant à votre requête"""
"webuser_msg";"no_value";"""???"""
"webuser_msg";"not_available";"""Non disponible"""
"webuser_msg";"not_referenced";"""Page non référencée"""
"webuser_msg";"number";"""N°"""
"webuser_msg";"others";"""Autre"""
"webuser_msg";"page";"""Page"""
"webuser_msg";"per_day";"""Par jour"""
"webuser_msg";"period_from";"""Période du"""
"webuser_msg";"phase";"""Phase"""
"webuser_msg";"prev";"""Prev"""
"webuser_msg";"previous_sessions";"""Sessions précédentes"""
"webuser_msg";"profile_title";"""Profil Client"""
"webuser_msg";"push_failure";"""Echec push"""
"webuser_msg";"push_success";"""Succès push"""
"webuser_msg";"received_page";"""Page reçue"""
"webuser_msg";"resumption";"""Reprise de session"""
"webuser_msg";"search";"""accueil"""
"webuser_msg";"search_title";"""Saisir les critères de recherche"""
"webuser_msg";"select";"""Sélectionner"""
"webuser_msg";"select_handset";"""Sélectionner le terminal"""
"webuser_msg";"select_unselect_all";"""Sélectionner / Désélectionner tout"""
"webuser_msg";"select_user_barring";"""Barring du client"""
"webuser_msg";"service";"""Service"""
"webuser_msg";"service_code";"""Code de service"""
"webuser_msg";"session_cost";"""Prix de la session"""
"webuser_msg";"session_detail";"""Détail de la session"""
"webuser_msg";"several_profiles";"""Plusieurs profils disponibles"""
"webuser_msg";"source";"""Source"""
"webuser_msg";"stat_consultations_num";"""Statistiques Nombre de consultations"""
"webuser_msg";"stat_users_num";"""Statistiques Nombre d'utilisateurs"""
"webuser_msg";"statistics";"""statistique"""
"webuser_msg";"subscription";"""Souscription"""
"webuser_msg";"summary";"""Résumé"""
"webuser_msg";"tariff";"""Prix"""
"webuser_msg";"tariff_plan";"""Pl. Tarifaire"""
"webuser_msg";"time";"""Heure"""
"webuser_msg";"to";"""au"""
"webuser_msg";"to_the_top";"""Retour en haut de page"""
"webuser_msg";"unknown";"""Inconnu"""
"webuser_msg";"unknown_service_code";"""Code de service inconnu"""
"webuser_msg";"unknown_tag";"""Balise inconnue"""
"webuser_msg";"update";"""Valider"""
"webuser_msg";"update_button";"""Mise à jour"""
"webuser_msg";"update_not_done";"""Mise à jour non effectuée"""
"webuser_msg";"update_not_necessary";"""Mise à jour inutile"""
"webuser_msg";"update_ok";"""Le niveau a été mis à jour"""
"webuser_msg";"users_num";"""Nombre d'utilisateurs"""
"webuser_msg";"voir";"""Voir"""
"webuser_msg";"volume";"""Volume"""
